conflict,value,kind
 307500,    1215,"solved"
 310000,     818,"l-restart"
 310000,       2,"g-restart"
 310000,   23635,"l-folding"
 310000,   38696,"g-folding"
 310000,    1228,"solved"
 312500,     818,"l-restart"
 312500,       2,"g-restart"
 312500,   24289,"l-folding"
 312500,   39350,"g-folding"
 312500,    1228,"solved"
 315000,     845,"l-restart"
 315000,       2,"g-restart"
 315000,   24900,"l-folding"
 315000,   39941,"g-folding"
 315000,    1241,"solved"
 317500,     866,"l-restart"
 317500,       2,"g-restart"
 317500,   25312,"l-folding"
 317500,   40328,"g-folding"
 317500,    1246,"solved"
 320000,     916,"l-restart"
 320000,       2,"g-restart"
 320000,   25634,"l-folding"
 320000,   40620,"g-folding"
 320000,    1249,"solved"
 322500,     960,"l-restart"
 322500,       2,"g-restart"
 322500,   25753,"l-folding"
 322500,   40671,"g-folding"
 322500,    1252,"solved"
 325000,     989,"l-restart"
 325000,       2,"g-restart"
 325000,   25860,"l-folding"
 325000,   40732,"g-folding"
 325000,    1253,"solved"
 327500,    1006,"l-restart"
 327500,       2,"g-restart"
 327500,   25930,"l-folding"
 327500,   40772,"g-folding"
 327500,    1254,"solved"
 330000,    1014,"l-restart"
 330000,       2,"g-restart"
 330000,   26002,"l-folding"
 330000,   40822,"g-folding"
 330000,    1256,"solved"
 332500,    1020,"l-restart"
 332500,       2,"g-restart"
 332500,   26191,"l-folding"
 332500,   40977,"g-folding"
 332500,    1256,"solved"
 335000,    1022,"l-restart"
 335000,       2,"g-restart"
 335000,   26296,"l-folding"
 335000,   41052,"g-folding"
 335000,    1256,"solved"
 337500,    1022,"l-restart"
 337500,       2,"g-restart"
 337500,   26370,"l-folding"
 337500,   41111,"g-folding"
 337500,    1257,"solved"
 340000,    1024,"l-restart"
 340000,       2,"g-restart"
 340000,   26433,"l-folding"
 340000,   41147,"g-folding"
 340000,    1258,"solved"
 342500,       8,"l-restart"
 342500,       3,"g-restart"
 342500,     235,"l-folding"
 342500,   41196,"g-folding"
 342500,    1259,"solved"
 345000,     201,"l-restart"
 345000,       3,"g-restart"
 345000,     693,"l-folding"
 345000,   41223,"g-folding"
 345000,    1287,"solved"
